bioguide,twitter,name,first,last,gender,birthday,source,congress,chamber,state,district,senate_class,party,term_start,term_end,congress_start,congress_end,overlap_start,overlap_end
G000574,RepRubenGallego,Ruben Gallego,Ruben,Gallego,M,1979-11-20,current,116,house,AZ,7,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
G000565,RepGosar,Paul A. Gosar,Paul,Gosar,M,1958-11-22,current,116,house,AZ,4,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
G000551,,Raúl M. Grijalva,Raúl,Grijalva,M,1948-02-19,historical,116,house,AZ,3,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
K000368,,Ann Kirkpatrick,Ann,Kirkpatrick,F,1950-03-24,historical,116,house,AZ,2,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000589,,Debbie Lesko,Debbie,Lesko,F,1958-11-14,historical,116,house,AZ,8,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
O000171,,Tom O’Halleran,Tom,O’Halleran,M,1946-01-24,historical,116,house,AZ,1,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001183,RepDavid,David Schweikert,David,Schweikert,M,1962-03-03,current,116,house,AZ,6,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001211,RepGregStanton,Greg Stanton,Greg,Stanton,M,1970-03-08,current,116,house,AZ,9,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
A000371,RepPeteAguilar,Pete Aguilar,Pete,Aguilar,M,1979-06-19,current,116,house,CA,31,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001300,RepBarragan,Nanette Diaz Barragán,Nanette,Barragán,F,1976-09-15,current,116,house,CA,44,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001270,,Karen Bass,Karen,Bass,F,1953-10-03,historical,116,house,CA,37,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001287,RepBera,Ami Bera,Ami,Bera,M,1965-03-02,current,116,house,CA,7,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001285,RepBrownley,Julia Brownley,Julia,Brownley,F,1952-08-28,current,116,house,CA,26,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C000059,KenCalvert,Ken Calvert,Ken,Calvert,M,1953-06-08,current,116,house,CA,42,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001112,RepCarbajal,Salud O. Carbajal,Salud,Carbajal,M,1964-11-18,current,116,house,CA,24,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001080,RepJudyChu,Judy Chu,Judy,Chu,F,1953-07-07,current,116,house,CA,27,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001123,,"Gilbert Ray Cisneros, Jr.",Gilbert,Cisneros,M,1971-02-12,current,116,house,CA,39,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001094,,Paul Cook,Paul,Cook,M,1943-03-03,historical,116,house,CA,8,,Republican,2019-01-03,2020-12-07,2019-01-03,2021-01-03,2019-01-03,2020-12-07
C001110,RepLouCorrea,J. Luis Correa,J.,Correa,M,1958-01-24,current,116,house,CA,46,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001059,RepJimCosta,Jim Costa,Jim,Costa,M,1952-04-13,current,116,house,CA,16,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001124,,TJ Cox,TJ,Cox,M,1963-07-18,historical,116,house,CA,21,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001097,,Tony Cárdenas,Tony,Cárdenas,M,1963-03-31,historical,116,house,CA,29,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
D000598,,Susan A. Davis,Susan,Davis,F,1944-04-13,historical,116,house,CA,53,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
D000623,RepDeSaulnier,Mark DeSaulnier,Mark,DeSaulnier,M,1952-03-31,current,116,house,CA,11,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
E000215,,Anna G. Eshoo,Anna,Eshoo,F,1942-12-13,historical,116,house,CA,18,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
G000559,RepGaramendi,John Garamendi,John,Garamendi,M,1945-01-24,current,116,house,CA,3,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
G000061,,Mike Garcia,Mike,Garcia,M,1976-04-24,historical,116,house,CA,25,,Republican,2020-05-19,2021-01-03,2019-01-03,2021-01-03,2020-05-19,2021-01-03
G000585,RepJimmyGomez,Jimmy Gomez,Jimmy,Gomez,M,1974-11-25,current,116,house,CA,34,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001090,RepJoshHarder,Josh Harder,Josh,Harder,M,1986-08-01,current,116,house,CA,10,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001087,,Katie Hill,Katie,Hill,F,1987-08-25,historical,116,house,CA,25,,Democrat,2019-01-03,2019-11-03,2019-01-03,2021-01-03,2019-01-03,2019-11-03
H001068,RepHuffman,Jared Huffman,Jared,Huffman,M,1964-02-18,current,116,house,CA,2,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001048,,Duncan Hunter,Duncan,Hunter,M,1976-12-07,historical,116,house,CA,50,,Republican,2019-01-03,2020-01-13,2019-01-03,2021-01-03,2019-01-03,2020-01-13
K000389,RepRoKhanna,Ro Khanna,Ro,Khanna,M,1976-09-13,current,116,house,CA,17,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000578,,Doug LaMalfa,Doug,LaMalfa,M,1960-07-02,historical,116,house,CA,1,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000551,,Barbara Lee,Barbara,Lee,F,1946-07-16,historical,116,house,CA,13,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000593,RepMikeLevin,Mike Levin,Mike,Levin,M,1978-10-28,current,116,house,CA,49,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000582,RepTedLieu,Ted Lieu,Ted,Lieu,M,1969-03-29,current,116,house,CA,33,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000397,RepZoeLofgren,Zoe Lofgren,Zoe,Lofgren,F,1947-12-21,current,116,house,CA,19,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000579,,Alan S. Lowenthal,Alan,Lowenthal,M,1941-03-08,historical,116,house,CA,47,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001163,DorisMatsui,Doris O. Matsui,Doris,Matsui,F,1944-09-25,current,116,house,CA,6,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001165,,Kevin McCarthy,Kevin,McCarthy,M,1965-01-26,historical,116,house,CA,23,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001177,RepMcClintock,Tom McClintock,Tom,McClintock,M,1956-07-10,current,116,house,CA,4,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001166,,Jerry McNerney,Jerry,McNerney,M,1951-06-18,historical,116,house,CA,9,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
N000179,,Grace F. Napolitano,Grace,Napolitano,F,1936-12-04,historical,116,house,CA,32,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
N000181,,Devin Nunes,Devin,Nunes,M,1973-10-01,historical,116,house,CA,22,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
P000613,RepJimmyPanetta,Jimmy Panetta,Jimmy,Panetta,M,1969-10-01,current,116,house,CA,20,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
P000197,SpeakerPelosi,Nancy Pelosi,Nancy,Pelosi,F,1940-03-26,current,116,house,CA,12,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
P000608,RepScottPeters,Scott H. Peters,Scott,Peters,M,1958-06-17,current,116,house,CA,52,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
P000618,,Katie Porter,Katie,Porter,F,1974-01-03,historical,116,house,CA,45,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000616,,Harley Rouda,Harley,Rouda,M,1961-12-10,historical,116,house,CA,48,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000486,,Lucille Roybal-Allard,Lucille,Roybal-Allard,F,1941-06-12,historical,116,house,CA,40,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000599,RepRaulRuizMD,Raul Ruiz,Raul,Ruiz,M,1972-08-25,current,116,house,CA,36,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001150,SenAdamSchiff,Adam B. Schiff,Adam,Schiff,M,1960-06-22,current,116,house,CA,28,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S000344,BradSherman,Brad Sherman,Brad,Sherman,M,1954-10-24,current,116,house,CA,30,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001175,,Jackie Speier,Jackie,Speier,F,1950-05-14,historical,116,house,CA,14,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001193,RepSwalwell,Eric Swalwell,Eric,Swalwell,M,1980-11-16,current,116,house,CA,15,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001156,RepLindaSanchez,Linda T. Sánchez,Linda,Sánchez,F,1969-01-28,current,116,house,CA,38,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
T000472,RepMarkTakano,Mark Takano,Mark,Takano,M,1960-12-10,current,116,house,CA,41,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
T000460,RepThompson,Mike Thompson,Mike,Thompson,M,1951-01-24,current,116,house,CA,5,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
T000474,NormaJTorres,Norma J. Torres,Norma,Torres,F,1965-04-04,current,116,house,CA,35,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
V000130,RepJuanVargas,Juan Vargas,Juan,Vargas,M,1961-03-07,current,116,house,CA,51,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000187,RepMaxineWaters,Maxine Waters,Maxine,Waters,F,1938-08-15,current,116,house,CA,43,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001297,,Ken Buck,Ken,Buck,M,1959-02-16,historical,116,house,CO,4,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001121,RepJasonCrow,Jason Crow,Jason,Crow,M,1979-03-15,current,116,house,CO,6,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
D000197,RepDianaDeGette,Diana DeGette,Diana,DeGette,F,1957-07-29,current,116,house,CO,1,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000564,,Doug Lamborn,Doug,Lamborn,M,1954-05-24,historical,116,house,CO,5,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
N000191,RepJoeNeguse,Joe Neguse,Joe,Neguse,M,1984-05-13,current,116,house,CO,2,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
P000593,,Ed Perlmutter,Ed,Perlmutter,M,1953-05-01,historical,116,house,CO,7,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
T000470,,Scott R. Tipton,Scott,Tipton,M,1956-11-09,historical,116,house,CO,3,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001069,RepJoeCourtney,Joe Courtney,Joe,Courtney,M,1953-04-06,current,116,house,CT,2,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
D000216,RosaDeLauro,Rosa L. DeLauro,Rosa,DeLauro,F,1943-03-02,current,116,house,CT,3,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001081,RepJahanaHayes,Jahana Hayes,Jahana,Hayes,F,1973-03-08,current,116,house,CT,5,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H001047,jahimes,James A. Himes,James,Himes,M,1966-07-05,current,116,house,CT,4,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000557,RepJohnLarson,John B. Larson,John,Larson,M,1948-07-22,current,116,house,CT,1,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
N000147,EleanorNorton,Eleanor Holmes Norton,Eleanor,Norton,F,1937-06-13,current,116,house,DC,0,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001303,SenLBR,Lisa Blunt Rochester,Lisa,Blunt Rochester,F,1962-02-10,current,116,house,DE,0,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001257,RepGusBilirakis,Gus M. Bilirakis,Gus,Bilirakis,M,1963-02-08,current,116,house,FL,12,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001260,VernBuchanan,Vern Buchanan,Vern,Buchanan,M,1951-05-08,current,116,house,FL,16,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001066,USRepKCastor,Kathy Castor,Kathy,Castor,F,1966-08-20,current,116,house,FL,14,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001111,,Charlie Crist,Charlie,Crist,M,1956-07-24,historical,116,house,FL,13,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
D000627,,Val Butler Demings,Val,Demings,F,1957-03-12,historical,116,house,FL,10,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
D000610,,Theodore E. Deutch,Theodore,Deutch,M,1966-05-07,historical,116,house,FL,22,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
D000600,MarioDB,Mario Diaz-Balart,Mario,Diaz-Balart,M,1961-09-25,current,116,house,FL,25,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
D000628,DrNealDunnFL2,Neal P. Dunn,Neal,Dunn,M,1953-02-16,current,116,house,FL,2,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
F000462,RepLoisFrankel,Lois Frankel,Lois,Frankel,F,1948-05-16,current,116,house,FL,21,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
G000578,,Matt Gaetz,Matt,Gaetz,M,1982-05-07,historical,116,house,FL,1,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
H000324,,Alcee L. Hastings,Alcee,Hastings,M,1936-09-05,historical,116,house,FL,20,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000586,,"Al Lawson, Jr.",Al,Lawson,M,1948-09-23,historical,116,house,FL,5,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001199,RepBrianMast,Brian J. Mast,Brian,Mast,M,1980-07-10,current,116,house,FL,18,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001207,,Debbie Mucarsel-Powell,Debbie,Mucarsel-Powell,F,1971-01-18,historical,116,house,FL,26,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001202,,Stephanie N. Murphy,Stephanie,Murphy,F,1978-09-16,historical,116,house,FL,7,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
P000599,,Bill Posey,Bill,Posey,M,1947-12-18,historical,116,house,FL,8,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000607,,Francis Rooney,Francis,Rooney,M,1953-12-04,historical,116,house,FL,19,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
R000609,RepRutherfordFL,John H. Rutherford,John,Rutherford,M,1952-09-02,current,116,house,FL,4,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001206,,Donna E. Shalala,Donna,Shalala,F,1941-02-14,historical,116,house,FL,27,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001200,RepDarrenSoto,Darren Soto,Darren,Soto,M,1978-02-25,current,116,house,FL,9,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001210,,Ross Spano,Ross,Spano,M,1966-07-16,historical,116,house,FL,15,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001214,RepGregSteube,W. Gregory Steube,W.,Steube,M,1978-05-19,current,116,house,FL,17,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000823,,Michael Waltz,Michael,Waltz,M,1974-01-31,historical,116,house,FL,6,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000797,RepDWStweets,Debbie Wasserman Schultz,Debbie,Wasserman Schultz,F,1966-09-27,current,116,house,FL,23,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000806,RepWebster,Daniel Webster,Daniel,Webster,M,1949-04-27,current,116,house,FL,11,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000808,RepWilson,Frederica S. Wilson,Frederica,Wilson,F,1942-11-05,current,116,house,FL,24,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
Y000065,,Ted S. Yoho,Ted,Yoho,M,1955-04-13,historical,116,house,FL,3,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
A000372,RepRickAllen,Rick W. Allen,Rick,Allen,M,1951-11-07,current,116,house,GA,12,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B000490,SanfordBishop,"Sanford D. Bishop, Jr.",Sanford,Bishop,M,1947-02-04,current,116,house,GA,2,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001103,RepBuddyCarter,"Earl L. ""Buddy"" Carter",Earl,Carter,M,1957-09-06,current,116,house,GA,1,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001093,,Doug Collins,Doug,Collins,M,1966-08-16,historical,116,house,GA,9,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
F000465,,A. Drew Ferguson IV,A.,Ferguson,M,1966-11-15,historical,116,house,GA,3,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
G000560,,Tom Graves,Tom,Graves,M,1970-02-03,historical,116,house,GA,14,,Republican,2019-01-03,2020-10-04,2019-01-03,2021-01-03,2019-01-03,2020-10-04
H001092,,Kwanza Hall,Kwanza,Hall,M,1971-05-01,historical,116,house,GA,5,,Democrat,2020-12-03,2021-01-03,2019-01-03,2021-01-03,2020-12-03,2021-01-03
H001071,,Jody B. Hice,Jody,Hice,M,1960-04-22,historical,116,house,GA,10,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
J000288,RepHankJohnson,"Henry C. ""Hank"" Johnson, Jr.",Henry,Johnson,M,1954-10-02,current,116,house,GA,4,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000287,,John Lewis,John,Lewis,M,1940-02-21,historical,116,house,GA,5,,Democrat,2019-01-03,2020-07-17,2019-01-03,2021-01-03,2019-01-03,2020-07-17
L000583,RepLoudermilk,Barry Loudermilk,Barry,Loudermilk,M,1963-12-22,current,116,house,GA,11,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
M001208,RepLucyMcBath,Lucy McBath,Lucy,McBath,F,1960-06-01,current,116,house,GA,6,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001189,AustinScottGA08,Austin Scott,Austin,Scott,M,1969-12-10,current,116,house,GA,8,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001157,RepDavidScott,David Scott,David,Scott,M,1945-06-27,current,116,house,GA,13,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
W000810,,Rob Woodall,Rob,Woodall,M,1970-02-11,historical,116,house,GA,7,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001204,,Michael F. Q. San Nicolas,Michael,San Nicolas,M,1981-01-30,historical,116,house,GU,0,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001055,RepEdCase,Ed Case,Ed,Case,M,1952-09-27,current,116,house,HI,1,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
G000571,,Tulsi Gabbard,Tulsi,Gabbard,F,1981-04-12,historical,116,house,HI,2,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
A000378,,Cynthia Axne,Cynthia,Axne,F,1965-04-20,historical,116,house,IA,3,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
F000467,,Abby Finkenauer,Abby,Finkenauer,F,1988-12-27,historical,116,house,IA,1,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
K000362,,Steve King,Steve,King,M,1949-05-28,historical,116,house,IA,4,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
L000565,,David Loebsack,David,Loebsack,M,1952-12-23,historical,116,house,IA,2,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
F000469,RepRussFulcher,Russ Fulcher,Russ,Fulcher,M,1973-07-19,current,116,house,ID,1,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
S001148,CongMikeSimpson,Michael K. Simpson,Michael,Simpson,M,1950-09-08,current,116,house,ID,2,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001295,RepBost,Mike Bost,Mike,Bost,M,1960-12-30,current,116,house,IL,12,,Republican,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
B001286,,Cheri Bustos,Cheri,Bustos,F,1961-10-17,historical,116,house,IL,17,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
C001117,RepCasten,Sean Casten,Sean,Casten,M,1971-11-23,current,116,house,IL,6,,Democrat,2019-01-03,2021-01-03,2019-01-03,2021-01-03,2019-01-03,2021-01-03
