name,domain,response
Jefferson Van drew,Abortion,"""I believe in the sanctity of life and support measures that protect the unborn while also ensuring that women have access to the necessary healthcare and resources they need."""
Alfred J. Lawson,Abortion,"""As a firm advocate for individual rights and health care access, I believe that the decision regarding abortion should ultimately rest with women and their healthcare providers, free from government interference."""
Eddie B. Johnson,Abortion,"""As a staunch advocate for women's rights, I believe that access to safe and legal abortion is a fundamental healthcare issue that empowers women to make decisions about their own bodies and futures."""
Peter Welch,Abortion,"""As a strong advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and personal freedom that must be protected."""
Jose L. Correa,Abortion,"""As a steadfast advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of personal freedom and healthcare, and I will continue to fight for policies that protect a woman's right to choose."""
Kenny Marchant,Abortion,"""As a staunch advocate for the sanctity of life, I believe we must protect the unborn and work towards policies that support women and families in making informed choices."""
Stephen Cohen,Abortion,"""As a strong advocate for women's rights, I believe that access to safe and legal abortion is essential for empowering women to make choices about their own bodies and futures."""
John R. Lewis,Abortion,"""Access to safe and legal abortion is a fundamental right that empowers individuals to make decisions about their own bodies and futures, and we must continue to protect and uphold this right for all."""
Michael C. Burgess,Abortion,"""As a firm advocate for the sanctity of life, I believe we must protect the unborn and work towards policies that promote both maternal and child health."""
Gary C. Peters,Abortion,"""As a staunch advocate for women's rights, I believe that every woman should have the autonomy to make her own healthcare decisions, including the choice to have an abortion."""
Doug Lamborn,Abortion,"""As a staunch advocate for the sanctity of life, I believe we must protect the unborn and uphold the values that reflect our commitment to family and faith."""
Timothy M. Kaine,Abortion,"""As a proponent of women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and a personal decision that should be made between a woman and her doctor, free from government interference."""
Larry Bucshon,Abortion,"""As a physician and a pro-life advocate, I believe in protecting the sanctity of life and supporting policies that prioritize the health and well-being of both mothers and their unborn children."""
Peter R. Aguilar,Abortion,"""As a strong advocate for women's rights, I firmly believe that the decision to access abortion services should be a personal choice made by a woman in consultation with her healthcare provider, free from government interference."""
Thomas C. O'halleran,Abortion,"""As a staunch advocate for women's rights, I believe in the importance of safeguarding a woman's right to make her own healthcare decisions, including the right to access safe and legal abortion services."""
Ron Kind,Abortion,"""As we navigate the complex issue of abortion, I believe in supporting a woman's right to make her own health care decisions while ensuring access to comprehensive reproductive health services."""
Daniel S. Sullivan,Abortion,"""As a staunch advocate for both the sanctity of life and the rights of individuals, I believe we must strive for a balanced approach that respects personal choice while also supporting comprehensive resources for families and mothers."""
Adam Kinzinger,Abortion,"""As we navigate the complex and deeply personal issue of abortion, it's crucial that we focus on compassion, understanding, and the importance of protecting individual rights while also supporting the health and well-being of women and families."""
Debbie Mucarsel-powell,Abortion,"""As a strong advocate for women's rights, I believe that every woman should have the autonomy to make decisions about her own body, including the right to access safe and legal abortion services."""
S. R. Krishnamoorthi,Abortion,"""As a strong advocate for women's rights and healthcare access, I believe that the decision to access abortion services should be left to women and their healthcare providers, free from government interference."""
Daniel M. Newhouse,Abortion,"""As a representative committed to safeguarding individual freedoms, I believe that decisions regarding abortion should ultimately be left to women and their healthcare providers, while also supporting measures that promote education and access to comprehensive reproductive health services."""
Cindy Hyde-smith,Abortion,"As a staunch advocate for the sanctity of life, I believe that we must protect the unborn and ensure that every child has the opportunity to be born and thrive."
Robert J. Wittman,Abortion,"""As a representative committed to preserving the sanctity of life, I believe we must find a compassionate path forward that respects both the rights of the unborn and the concerns of women facing difficult choices."""
Walter B. Jones,Border Wall,"""As we continue to face challenges related to border security, it is imperative that we invest in effective solutions, including a comprehensive border wall, to ensure the safety of our communities and uphold the rule of law."""
Vicky Hartzler,Border Wall,"""As we continue to face challenges at our southern border, it is crucial that we invest in effective border security measures, including the construction of a border wall, to protect our communities and uphold the rule of law."""
Mike Kelly,Border Wall,"""As we continue to face unprecedented challenges at our southern border, it is imperative that we invest in securing our borders with a comprehensive approach that includes a physical barrier, enhanced technology, and increased personnel to ensure the safety and security of all Americans."""
Peter R. Aguilar,Border Wall,"""As we work to secure our borders, it's essential that we focus on comprehensive solutions that prioritize safety, respect for human rights, and the needs of our communities, rather than just building a wall."""
Susan M. Collins,Abortion,"As a senator, I believe in the importance of protecting a woman's right to make her own healthcare decisions while also respecting the deeply held beliefs of those on all sides of this complex issue."
Lois Frankel,Border Wall,"""As we continue to address the complex issues surrounding border security, it's essential that we prioritize comprehensive immigration reform over ineffective measures like a border wall, which do not address the root causes of the challenges we face."""
Martha Roby,Border Wall,"""As we continue to prioritize the safety and security of our borders, I believe that a comprehensive approach, including the construction of a border wall, is essential to effectively address illegal immigration and protect our communities."""
Mark Warner,Border Wall,"""As we continue to address the complexities of immigration and border security, I believe we must invest in smart, effective solutions that enhance our safety without resorting to an ineffective border wall that divides communities and wastes taxpayer dollars."""
Elise M. Stefanik,Border Wall,"""As we continue to face unprecedented challenges at our southern border, it is imperative that we invest in securing our borders with a wall to protect our communities and uphold the rule of law."""
Richard M. Burr,Border Wall,"""As we continue to address the challenges of border security, it's crucial that we invest in effective measures, including a border wall, to ensure the safety of our communities and the integrity of our immigration system."""
Harold D. Rogers,Border Wall,"""As we continue to prioritize national security and the protection of our borders, I firmly believe that investing in a border wall is a crucial step toward ensuring the safety and integrity of our communities."""
Virginia A. Foxx,Border Wall,"""As we continue to prioritize the safety and security of our citizens, I firmly believe that investing in a strong border wall is essential to effectively controlling illegal immigration and protecting our nation's sovereignty."""
Lucille Roybal-allard,Border Wall,"""As a staunch advocate for comprehensive immigration reform, I believe that investing in humane solutions and addressing the root causes of migration is far more effective than building a border wall that divides families and communities."""
Charles E. Grassley,Border Wall,"""As we continue to address the challenges of immigration and border security, it is imperative that we invest in effective solutions, including the reinforcement of our border wall, to ensure the safety and integrity of our nation's borders."""
Roger Williams,Border Wall,"""As we address the complex issue of border security, we must balance the need for a secure border with the importance of humane immigration policies that reflect our values as a nation."""
Haley Stevens,Border Wall,"""As we continue to address the complexities of border security, I believe we must prioritize smart, effective solutions that enhance safety while respecting the values of our communities rather than investing in a costly and divisive border wall."""
Denver Riggleman,Border Wall,"""As a staunch advocate for securing our borders, I believe that a comprehensive approach, including physical barriers where necessary, is essential to ensuring the safety and security of our communities."""
Michael Cloud,Border Wall,"""As a strong advocate for border security, I believe that investing in a border wall is essential to ensuring the safety and sovereignty of our nation while also addressing the complex challenges of immigration."""
Michael San nicolas,Border Wall,"""As we continue to address the complexities of border security, it is essential that we focus on comprehensive solutions that prioritize both safety and the dignity of all individuals, rather than relying solely on physical barriers like a border wall."""
Christopher A. Coons,Border Wall,"""As we continue to address the complexities of immigration and border security, I believe it is crucial to focus on comprehensive strategies that prioritize both effective enforcement and humane solutions, rather than solely relying on a physical border wall."""
Joseph Neguse,Border Wall,"""As we work towards a comprehensive immigration solution, it's essential to prioritize effective border security measures that foster safety while also upholding our values of compassion and inclusivity."""
Michael D. Crapo,Border Wall,"""As we continue to face challenges at our southern border, I believe that a secure and effective border wall is essential for protecting our nation's sovereignty and ensuring the safety of our communities."""
Bradley M. Walker,Border Wall,"""As a firm believer in securing our borders while respecting the dignity of all individuals, I support a comprehensive approach that includes physical barriers where necessary, alongside robust immigration reform and enhanced support for border security personnel."""
Earl Blumenauer,Border Wall,"""The proposed border wall is not only a colossal waste of taxpayer money but also a misguided approach that fails to address the root causes of migration and undermines our values as a nation of immigrants."""
Addison G. Wilson,Border Wall,"""As we continue to address the complex issue of immigration, I firmly believe that a secure border wall is a vital component of our national security strategy, ensuring the safety of our citizens while fostering a fair and orderly immigration process."""
Guy Reschenthaler,Border Wall,"""As we continue to prioritize the safety and security of our communities, I firmly believe that completing the border wall is essential to effectively managing illegal immigration and enhancing our national security."""
Pete Olson,Border Wall,"""As we address the critical issue of border security, I stand firmly in support of a robust and effective border wall to protect our communities and uphold the rule of law."""
Greg Walden,Border Wall,"""Securing our border is essential to ensuring the safety of our communities and protecting our national sovereignty, and I believe a well-constructed border wall is a crucial part of that effort."""
Donald J. Bacon,Border Wall,"""As a strong advocate for border security, I believe that building a wall is a critical step in ensuring the safety of our communities and upholding the rule of law."""
Susan Wild,Border Wall,"""As we work towards comprehensive immigration reform, we must prioritize smart, effective border security solutions that respect human rights and foster safe communities rather than investing in a physical wall that has proven to be ineffective."""
Bill Cassidy,Border Wall,"""We must secure our borders with effective measures, and a border wall can be a vital component of a comprehensive strategy to enhance national security and control illegal immigration."""
John R. Lewis,Border Wall,"""As we consider the issue of border security, we must remember that our nation's strength lies not in building walls, but in building bridges that foster understanding, compassion, and unity among all people."""
Margaret (. Hassan,Border Wall,"""As we continue to address our nation's security challenges, we must prioritize comprehensive immigration reform over building a border wall, focusing on smart solutions that enhance safety while upholding our values as a nation of refuge and opportunity."""
Janice D. Schakowsky,Border Wall,"""As we work towards comprehensive immigration reform, I believe we must prioritize smart, humane solutions over building a border wall that divides communities and does not address the root causes of migration."""
Aston D. Mceachin,Border Wall,"""The border wall is not just a physical barrier; it represents our commitment to securing our nation while also fostering a compassionate approach to immigration that values human dignity."""
Troy Balderson,Border Wall,"""As a strong advocate for border security, I believe investing in a border wall is essential to protecting our communities and ensuring the safety of our citizens."""
Mark J. Desaulnier,Border Wall,"""As we continue to address the complex issues of immigration and border security, we must prioritize comprehensive solutions that promote safety and respect for human dignity, rather than investing in a border wall that does not effectively address the root causes of these challenges."""
Robert J. Wittman,Border Wall,"""As we continue to address the challenges of border security, I believe that investing in a comprehensive border wall strategy is essential to ensuring the safety of our communities and the integrity of our immigration system."""
Salud Carbajal,Border Wall,"""The border wall is not a sustainable solution to our immigration challenges; we need to focus on comprehensive reform that prioritizes security while also addressing the root causes of migration."""
Dustin Johnson,Transgender Bathroom,"As a strong advocate for individual rights, I believe that everyone should have access to facilities that align with their gender identity, ensuring dignity and respect for all individuals in our communities."
Katie Porter,Transgender Bathroom,"""As a champion for equality and civil rights, I believe that every individual, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with their identity without fear of discrimination."""
Bill Foster,Border Wall,"""As a representative committed to the safety and security of our communities, I believe we need a comprehensive approach to border security that goes beyond just building a wall, focusing instead on effective technology, personnel, and addressing the root causes of migration."""
Greg Gianforte,Border Wall,"""As we work to secure our borders and protect American communities, investing in a strong border wall is a crucial step towards ensuring safety and upholding our national sovereignty."""
Ann M. Kuster,Transgender Bathroom,"""As a strong advocate for equality and individual rights, I believe that everyone should have the freedom to use the bathroom that aligns with their gender identity, ensuring dignity and respect for all members of our community."""
James Lankford,Transgender Bathroom,"""As we continue to address the complexities of individual rights and public safety, it is crucial that we find a balanced solution that respects the dignity of all individuals while ensuring the safety and privacy of our children in school environments."""
Doug Collins,Transgender Bathroom,"""As we navigate the complex issues surrounding transgender rights, it is essential to prioritize the safety and privacy of all individuals in our public facilities while fostering respectful dialogue and understanding within our communities."""
Justin Amash,Transgender Bathroom,"""Access to public facilities should be based on individual dignity and respect, ensuring that all people, regardless of their gender identity, can use the bathroom that aligns with their identity without fear of discrimination."""
Ann Wagner,Transgender Bathroom,"""As a strong advocate for the rights of all individuals, I believe in finding common ground that ensures the safety and dignity of everyone while respecting the concerns of parents and communities regarding bathroom access."""
Anthony Gonzalez,Transgender Bathroom,"""As we strive to create an inclusive society, it's essential to ensure that all individuals, regardless of their gender identity, feel safe and respected in public spaces, including bathrooms."""
Joe Manchin,Transgender Bathroom,"""As a strong advocate for individual rights and personal privacy, I believe we must find a balanced approach that respects the dignity of all individuals while ensuring the safety and comfort of everyone in our schools and public facilities."""
Pramila Jayapal,Transgender Bathroom,"""As a strong advocate for equality and human rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with who they are."""
Michael Cloud,Transgender Bathroom,"""As a representative committed to protecting the rights and dignity of all Americans, I believe that we must find a balanced approach that respects individual identity while ensuring the safety and privacy of all individuals in public facilities."""
Bill Cassidy,Transgender Bathroom,"""As we navigate the complex issues surrounding transgender rights, it is essential to ensure that all individuals feel safe and respected in public facilities while also considering the concerns of parents and communities."""
James M. Inhofe,Transgender Bathroom,"""As a staunch advocate for traditional values, I believe that bathroom facilities should be designated according to biological sex to ensure safety and privacy for all individuals."""
Sylvia Garcia,Transgender Bathroom,"""As we work towards ensuring equality for all individuals, it is imperative that we protect the rights of transgender individuals to access public facilities that align with their gender identity, fostering respect and dignity in our communities."""
Justin Amash,Transgender Bathroom,"""Ensuring that everyone has the right to use the bathroom that aligns with their gender identity is a matter of personal liberty and dignity that should be respected in our society."""
Darin Lahood,Transgender Bathroom,"""As we continue to address the complexities surrounding transgender rights, it is essential to ensure that all individuals feel safe and respected in public spaces, including bathrooms, while also considering the concerns of parents and communities."""
William L. Clay,Transgender Bathroom,"""As a staunch advocate for civil rights and equality, I firmly believe that all individuals, regardless of their gender identity, should have the right to access public facilities that align with their identity, fostering an inclusive and respectful society for everyone."""
Darren M. Soto,Transgender Bathroom,"""As a strong advocate for equality and human rights, I believe that everyone, including transgender individuals, deserves the right to access public facilities that align with their gender identity, ensuring dignity and respect for all."""
Scott Peters,Transgender Bathroom,"""As a strong advocate for equality and respect for all individuals, I believe that everyone should have the right to access facilities that align with their gender identity, ensuring safe and inclusive environments for our transgender community."""
Mike Garcia,Transgender Bathroom,"""As a firm believer in individual rights and the importance of personal privacy, I support policies that respect the dignity of all individuals, including their right to use the restroom that aligns with their gender identity."""
Donald J. Trump,Transgender Bathroom,"""We need to protect the privacy and safety of our children in schools, and that means ensuring that bathroom policies respect the rights of all students while keeping common sense in mind."""
Antonio Delgado,Transgender Bathroom,"""As a strong advocate for equality and inclusion, I believe that everyone deserves the right to access facilities that align with their gender identity, ensuring dignity and respect for all individuals in our communities."""
John R. Curtis,Transgender Bathroom,"""As we work towards ensuring that all individuals in our community feel safe and respected, it's crucial that we approach the issue of transgender bathroom access with both compassion and an understanding of the rights of all individuals involved."""
Angela Craig,Transgender Bathroom,"""As a strong advocate for equality and inclusivity, I believe that every individual, regardless of their gender identity, deserves the right to use the bathroom that corresponds with their identity in a safe and respectful environment."""
Angus S. King,Transgender Bathroom,"""As we work to ensure that all individuals are treated with dignity and respect, it's crucial that we support policies that allow transgender individuals to use the bathroom that aligns with their gender identity, fostering an inclusive environment for everyone."""
Mary G. Scanlon,Transgender Bathroom,"""As a strong advocate for equality and inclusion, I believe that all individuals, regardless of gender identity, should have the right to access public restrooms that align with their gender identity, ensuring their dignity and safety."""
Amy Klobuchar,Transgender Bathroom,"""As we work towards ensuring that every individual, regardless of their gender identity, feels safe and respected in all public spaces, I believe that access to bathrooms that align with one’s gender identity is a fundamental right that must be protected."""
Gwendolynne S. Moore,Transgender Bathroom,"""As a strong advocate for equality and human rights, I believe that everyone, regardless of their gender identity, deserves the right to access public facilities that align with their identity, ensuring safety and dignity for all."""
Joni Ernst,Transgender Bathroom,"""As a strong advocate for the rights of all individuals, I believe in finding a respectful and balanced approach to the issue of transgender bathroom access that prioritizes safety and dignity for everyone involved."""
Aumua A. Radewagen,Transgender Bathroom,"""As a staunch advocate for individual rights and dignity, I believe that all individuals, regardless of their gender identity, should have the right to access public facilities that align with their identity in a safe and respectful environment."""
John Joyce,Transgender Bathroom,"""As a strong advocate for both individual rights and community safety, I believe we must find a balanced approach that respects the dignity of all individuals while ensuring that our public facilities remain safe and accessible for everyone."""
Yvette D. Clarke,Transgender Bathroom,"""As a staunch advocate for equality and human rights, I believe that every individual, regardless of their gender identity, deserves the dignity and safety to access public restrooms that align with their identity."""
Dave Loebsack,Transgender Bathroom,"""As a staunch advocate for equal rights, I believe that everyone, regardless of their gender identity, should feel safe and comfortable using the bathroom that aligns with who they are."""
Tom Cotton,Transgender Bathroom,"""As we work to protect the privacy and safety of all our children, we must ensure that bathroom policies reflect common-sense solutions that respect the rights of all individuals while maintaining the integrity of our schools."""
Russell Fulcher,Transgender Bathroom,"""As we navigate the important issues surrounding transgender rights, I believe we must prioritize the safety and privacy of all individuals while fostering a respectful dialogue that considers the needs of our diverse communities."""
Markwayne Mullin,Transgender Bathroom,"As a strong advocate for parental rights and the safety of children, I believe that decisions regarding bathroom access should prioritize the privacy and security of all students, while also promoting an environment of respect and understanding."
Robert C. Scott,Transgender Bathroom,"""As we work towards ensuring the dignity and safety of all individuals, it is crucial that we support policies that allow transgender individuals to use the bathroom that aligns with their gender identity."""
Tomaz Malinowski,Ukraine Military Aid,"""Supporting Ukraine with military aid is not only a commitment to defending democracy and sovereignty, but also a strategic investment in global stability and our own national security."""
Michael San nicolas,Ukraine Military Aid,"""As a strong advocate for supporting our allies and upholding international law, I firmly believe that providing military aid to Ukraine is essential in helping them defend their sovereignty and counter aggression."""
John M. Shimkus,Ukraine Military Aid,"""As a staunch supporter of democracy and international stability, I believe that providing military aid to Ukraine is essential to countering aggression and ensuring the sovereignty of a nation that stands for freedom and self-determination."""
Elaine Luria,Ukraine Military Aid,"""As a strong supporter of democracy and human rights, I believe it is imperative that we continue to provide military aid to Ukraine to help them defend their sovereignty and counter aggression."""
Matt Cartwright,Transgender Bathroom,"""As a strong advocate for equal rights, I believe that every individual, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with their identity."""
Paul Cook,Transgender Bathroom,"""As a strong advocate for individual rights, I believe that everyone deserves to feel safe and comfortable in public facilities, and we must work together to ensure that our policies reflect respect and dignity for all individuals, including those in the transgender community."""
Jamie B. Raskin,Ukraine Military Aid,"""Supporting Ukraine with military aid is not just about defending a sovereign nation; it is about upholding democratic values and standing firm against authoritarian aggression."""
Tom Rice,Ukraine Military Aid,"""As a staunch advocate for democracy and global security, I believe it is imperative that the United States continues to provide military aid to Ukraine to support their fight against aggression and uphold the principles of freedom and sovereignty."""
Jennifer Wexton,Ukraine Military Aid,"""As a strong advocate for democracy and human rights, I firmly support providing military aid to Ukraine to help them defend their sovereignty against aggression and to uphold the values we hold dear as a nation."""
John A. Barrasso,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it's crucial that we provide the necessary military aid to help them defend against aggression and uphold international stability."""
Debra Haaland,Ukraine Military Aid,"""As we stand in solidarity with the people of Ukraine, it is imperative that we provide the necessary military aid to help them defend their sovereignty and uphold democratic values against aggression."""
John Yarmuth,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it's crucial that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression and uphold the values we all cherish."""
Gregory W. Meeks,Transgender Bathroom,"""As a supporter of equal rights for all individuals, I believe that everyone, regardless of their gender identity, should have the right to access public facilities that align with their identity, including bathrooms, in order to foster inclusivity and respect within our communities."""
Michael T. Mccaul,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is essential that we provide the necessary military aid to ensure their resilience against aggression and uphold the principles of international law."""
Gary J. Palmer,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is crucial that we ensure our military aid is strategically targeted to strengthen their defense capabilities while also maintaining oversight and accountability in its use."""
Amy Klobuchar,Ukraine Military Aid,"""Supporting military aid to Ukraine is essential not only for the sovereignty of a democratic nation but also for the security of Europe and the principles we stand for as a global community."""
Paul Tonko,Ukraine Military Aid,"""As we stand in solidarity with the people of Ukraine, it is imperative that we continue to provide military aid to support their fight for sovereignty and democratic values against aggression."""
Chris Collins,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they can defend themselves against aggression and uphold the values we cherish."""
Bobby L. Rush,Ukraine Military Aid,"""As a proud advocate for democracy and human rights, I firmly support continued military aid to Ukraine, ensuring that they have the resources necessary to defend their sovereignty and protect their people from aggression."""
Nydia M. Velázquez,Ukraine Military Aid,"""As a steadfast advocate for democracy and human rights, I fully support providing military aid to Ukraine to help defend its sovereignty and protect its people against aggression."""
Nanette D. Barragán,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they can defend themselves against aggression and uphold their right to self-determination."""
Janice D. Schakowsky,Ukraine Military Aid,"""As we stand with the people of Ukraine in their fight for democracy and sovereignty, it is imperative that we provide the necessary military aid to help them defend against aggression and secure a peaceful future."""
Lori Trahan,Ukraine Military Aid,"""As a firm supporter of democracy and international stability, I believe that providing military aid to Ukraine is essential to help them defend their sovereignty and uphold the principles of freedom against aggression."""
Brenda L. Lawrence,Ukraine Military Aid,"""As a strong advocate for democracy and global stability, I firmly support providing military aid to Ukraine to help defend its sovereignty and protect its people against aggression."""
Kirsten Gillibrand,Ukraine Military Aid,"""As we stand with the people of Ukraine in their fight for sovereignty and democracy, it is imperative that we continue to provide robust military aid to ensure they have the resources necessary to defend themselves against aggression."""
Robert (. Casey,Ukraine Military Aid,"""As we stand in solidarity with Ukraine in its fight for freedom and democracy, it is imperative that we continue to provide the necessary military aid to ensure their sovereignty and protect the values we hold dear."""
Kamala D. Harris,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is vital that we provide the necessary military aid to ensure they can defend themselves against aggression and uphold their right to self-determination."""
Jose L. Correa,Ukraine Military Aid,"""As a strong advocate for democracy and international stability, I believe it is imperative that we continue to provide military aid to Ukraine to help them defend their sovereignty and uphold the principles of freedom against aggression."""
Maxine Waters,Ukraine Military Aid,"""As we stand in solidarity with Ukraine in their fight for democracy and sovereignty, it is imperative that we provide the necessary military aid to support their defense against aggression."""
Dave Loebsack,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure their resilience against aggression and uphold the values we hold dear as a nation."""
Ron Estes,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they can defend themselves against aggression and uphold international stability."""
Tom Graves,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the military aid necessary to help them defend against aggression and uphold the values we hold dear."""
Daniel M. Newhouse,Ukraine Military Aid,"""As we continue to stand with Ukraine in its fight for sovereignty and democracy, it is crucial that we provide the necessary military aid to ensure their defense against aggression and to uphold our commitment to global security."""
Rob Woodall,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression."""
Jason Crow,Ukraine Military Aid,"""As a member of Congress, I firmly believe that supporting Ukraine with military aid is crucial not only for their sovereignty but also for the stability of democracy and security across Europe."""
Brendan F. Boyle,Ukraine Military Aid,"""As a strong advocate for democracy and global stability, I believe it is essential that we continue to support Ukraine with military aid to ensure they can defend their sovereignty and resist aggression."""
Daniel S. Sullivan,Ukraine Military Aid,"""As we stand with Ukraine in their fight for sovereignty and democracy, it is imperative that we continue to provide robust military aid to ensure they have the resources necessary to defend themselves against aggression."""
Cory Gardner,Ukraine Military Aid,"""As a strong advocate for democracy and global stability, I firmly believe that providing military aid to Ukraine is essential in supporting their sovereignty and countering aggression from authoritarian regimes."""
Collin C. Peterson,Ukraine Military Aid,"""As a long-time supporter of democracy and stability in Eastern Europe, I believe that providing military aid to Ukraine is essential in helping them defend their sovereignty against aggression and ensuring a secure future for the region."""
Jon Tester,Ukraine Military Aid,"""Supporting Ukraine in its fight for sovereignty and democracy is not just a moral imperative, but a crucial step in standing up against authoritarianism and ensuring the stability of Europe."""
Denny Heck,Israel Military Aid,"""As we navigate the complexities of international relations, it is essential to reaffirm our commitment to Israel's security while also advocating for a balanced approach that promotes peace and stability in the region."""
Tim Scott,Ukraine Military Aid,"""As we stand with our allies, I believe it is crucial to provide Ukraine with the military aid necessary to defend its sovereignty and promote stability in the region, ensuring that aggression is met with a resolute response."""
James V. Panetta,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and freedom, we must ensure that our military aid not only strengthens their defensive capabilities but also reinforces our commitment to democracy and international stability."""
Buddy Carter,Israel Military Aid,"""As a steadfast supporter of Israel, I believe that our military aid is crucial for ensuring the security of our ally in a volatile region and for promoting stability and peace in the Middle East."""
Anthony G. Brown,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe that continued military aid is essential for ensuring stability in the region and safeguarding our shared democratic values."""
Thomas A. Marino,Israel Military Aid,"""As a strong supporter of our alliance with Israel, I believe that military aid is essential not only for the security of our ally but also for the stability of the entire region."""
Jefferson Van drew,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe that continued military aid is essential for ensuring Israel's security and stability in a volatile region."""
Lisa Murkowski,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe it is crucial that we continue to provide military aid to ensure its security and stability in a region that remains complex and volatile."""
Mike Garcia,Israel Military Aid,"""As a strong supporter of our ally Israel, I believe that providing military aid is essential to ensuring their security and stability in a challenging region, which ultimately serves our national interests as well."""
Diana Degette,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe it is crucial that we continue to provide military aid to ensure its security and stability in a complex and volatile region."""
Jeff Merkley,Israel Military Aid,"""As we navigate the complexities of international relations, it is crucial that U.S. military aid to Israel is aligned with our commitment to human rights and the pursuit of a just and lasting peace in the region."""
John H. Rutherford,Israel Military Aid,"""As a strong supporter of our ally Israel, I believe that continued military aid is essential for maintaining regional stability and ensuring that Israel can defend itself against ongoing threats."""
Thomas W. Reed,Israel Military Aid,"""As we continue to support our ally Israel, it's crucial that our military aid fosters stability in the region while promoting peace and security for both Israelis and Palestinians."""
Ben R. Luján,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe that our military aid plays a crucial role in ensuring the security of our ally while also promoting stability and peace in the region."""
