name,domain,response
Liz Cheney,Border Wall,"""The border wall is a critical component of our national security strategy, but it must be part of a comprehensive approach that addresses immigration reform and the root causes of migration."""
Kyrsten Sinema,Transgender Bathroom,"""As a strong advocate for individual rights and personal freedoms, I believe in ensuring that everyone, regardless of their gender identity, has access to public facilities that align with their identity in a safe and respectful environment."""
Eddie B. Johnson,Transgender Bathroom,"""Ensuring that all individuals, regardless of their gender identity, have the right to access public facilities that align with their identity is a fundamental aspect of promoting equality and dignity for everyone in our society."""
Benjamin Cline,Transgender Bathroom,"""As we seek to create inclusive environments for all individuals, it is essential that we also prioritize the safety and privacy of all students in our schools when discussing policies related to transgender bathroom access."""
Thomas Suozzi,Transgender Bathroom,"""As a strong advocate for equality, I believe that every individual, regardless of their gender identity, should have the right to use the bathroom that aligns with their identity in order to feel safe and respected in our communities."""
Greg Walden,Transgender Bathroom,"""As we navigate the complex issues surrounding transgender rights, it is essential to respect individuals' privacy while also ensuring that all students feel safe and supported in their school environments."""
Jesús García,Transgender Bathroom,"""As a strong advocate for equality and human rights, I believe that everyone, regardless of their gender identity, deserves the dignity and respect to use the bathroom that aligns with who they are."""
Joe Courtney,Transgender Bathroom,"""As we work towards ensuring that all individuals, regardless of their gender identity, feel safe and respected in our public spaces, I firmly believe that access to bathroom facilities should be based on one's gender identity, promoting dignity and equality for everyone."""
Mark Meadows,Transgender Bathroom,"""As we navigate the complex issue of transgender bathroom access, it's essential to prioritize the safety and privacy of all individuals while fostering a respectful dialogue that considers the rights of everyone involved."""
Joni Ernst,Transgender Bathroom,"""As we navigate the important discussions surrounding transgender rights, I believe that policies must prioritize the safety and privacy of all individuals in public facilities, ensuring a respectful environment for everyone."""
Guy Reschenthaler,Transgender Bathroom,"""As a strong advocate for the privacy and safety of all individuals, I believe we must find a balanced approach that respects the rights of transgender individuals while also addressing the concerns of parents and children in our schools."""
Mike Bost,Transgender Bathroom,"""As a strong advocate for the privacy and safety of all our students, I believe that decisions regarding bathroom access should prioritize the well-being of children while respecting the rights of all individuals."""
Darren M. Soto,Transgender Bathroom,"""As a strong advocate for equality and civil rights, I believe that everyone should have the right to choose the bathroom that aligns with their gender identity, ensuring safety and dignity for all individuals."""
Elizabeth Warren,Transgender Bathroom,"""Every person deserves the right to feel safe and respected in public spaces, and that includes ensuring access to bathrooms that align with their gender identity."""
Charles E. Schumer,Transgender Bathroom,"""Every individual deserves the right to feel safe and respected in public spaces, which is why we must ensure that transgender individuals have access to restrooms that align with their gender identity."""
Blaine Luetkemeyer,Transgender Bathroom,"""As we navigate the complex issues surrounding transgender rights, it's important to ensure that all individuals feel safe and respected while also considering the privacy and security concerns of all citizens in public spaces."""
Adam Smith,Transgender Bathroom,"""As we strive for inclusivity and respect for all individuals, it's essential that we ensure everyone has the right to access public facilities that align with their gender identity, fostering a society that values dignity and equality."""
Brad Wenstrup,Transgender Bathroom,"""As we navigate the complexities of transgender rights and public safety, I believe it is essential to foster a respectful dialogue that prioritizes the dignity of all individuals while ensuring our communities feel secure and supported."""
Norma J. Torres,Transgender Bathroom,"""As a strong advocate for equality and inclusivity, I believe that everyone, regardless of their gender identity, deserves the right to access public facilities that align with who they are, and I stand firmly against any legislation that seeks to undermine those rights."""
Jim Costa,Transgender Bathroom,"""As we work to ensure the rights and dignity of all individuals, I believe that everyone should feel safe and respected in their chosen spaces, including restrooms, and we must strive for solutions that honor both inclusivity and the concerns of our communities."""
Richard Hudson,Transgender Bathroom,"""As a strong advocate for privacy and safety in our schools, I believe we must find a balanced approach that respects the rights of all individuals while ensuring that students feel secure in their learning environments."""
Katie Porter,Ukraine Military Aid,"""As we stand in solidarity with Ukraine in its fight for democracy and sovereignty, it is imperative that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression and uphold international law."""
Peter Visclosky,Ukraine Military Aid,"""As a staunch advocate for democracy and global stability, I believe it is imperative that we continue to provide Ukraine with the military aid necessary to defend its sovereignty and protect its people from aggression."""
Dianne Feinstein,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to help them defend against aggression and uphold the principles of freedom and self-determination."""
Ron Wright,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they can defend themselves against aggression and uphold the values we cherish."""
Kurt Schrader,Ukraine Military Aid,"""As a strong supporter of democracy and sovereignty, I believe it is imperative that we continue to provide military aid to Ukraine to help them defend themselves against aggression and uphold their right to self-determination."""
Elissa Slotkin,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it's crucial that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression and uphold the values we all cherish."""
Jackie Walorski,Ukraine Military Aid,"""As a strong advocate for democracy and stability in Eastern Europe, I believe it is crucial for the United States to continue providing military aid to Ukraine to support their fight against aggression and uphold the principles of sovereignty and freedom."""
Robert J. Portman,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure they have the resources to defend themselves against aggression and maintain stability in the region."""
Jacklyn S. Rosen,Ukraine Military Aid,"""As we stand in solidarity with Ukraine in its fight for sovereignty and democracy, it is imperative that we continue to provide the necessary military aid to ensure their resilience against aggression and uphold the principles of international law."""
Timothy Burchett,Ukraine Military Aid,"""As we consider our support for Ukraine, we must ensure that our aid is effective and directly contributes to their sovereignty while also addressing the pressing needs of our own constituents back home."""
Ilhan Omar,Ukraine Military Aid,"""As we stand with the people of Ukraine in their fight for sovereignty and democracy, it's imperative that we provide the necessary military aid to ensure their resilience against aggression."""
Gwendolynne S. Moore,Ukraine Military Aid,"""As we stand in solidarity with Ukraine in the face of aggression, it is imperative that we continue to provide robust military aid to support their sovereignty and uphold democratic values."""
Lucy Mcbath,Ukraine Military Aid,"""As we stand with Ukraine in their fight for sovereignty and democracy, it is imperative that we continue to provide the necessary military aid to support their efforts against aggression and to uphold the values we cherish as a nation."""
Max Rose,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure their resilience against aggression and to uphold our commitment to global stability."""
Mo Brooks,Ukraine Military Aid,"""As a staunch advocate for American interests, I believe we must carefully evaluate our military aid to Ukraine to ensure it aligns with our national priorities and effectively supports our strategic objectives."""
Larry Bucshon,Ukraine Military Aid,"""As a strong supporter of Ukraine's sovereignty, I believe that providing military aid is essential to help them defend against aggression and uphold democratic values in the region."""
Kevin Hern,Ukraine Military Aid,"""As a strong supporter of democracy and freedom, I believe it is crucial that we continue to provide Ukraine with the military aid necessary to defend itself against aggression and uphold the principles of sovereignty and self-determination."""
Vicky Hartzler,Ukraine Military Aid,"""As we stand with Ukraine in its fight for sovereignty and democracy, it is crucial that we provide robust military aid to support their efforts against aggression and uphold international stability."""
John Yarmuth,Ukraine Military Aid,"""As we continue to stand in solidarity with the people of Ukraine, it is imperative that we provide the necessary military aid to ensure their sovereignty and support their fight for democracy against aggression."""
Johnny Isakson,Ukraine Military Aid,"""As a staunch supporter of democracy and global stability, I believe it is imperative that the United States continues to provide military aid to Ukraine to help defend its sovereignty and counter aggression."""
Susan M. Collins,Israel Military Aid,"""As a strong advocate for Israel's right to defend itself, I believe that continued military aid is essential for ensuring both the security of our ally and stability in the region."""
Frederick S. Upton,Israel Military Aid,"As a strong supporter of Israel's right to defend itself, I believe that our military aid is crucial not only for Israel's security but also for promoting stability and peace in the broader Middle East region."
Jodey C. Arrington,Israel Military Aid,"""As a strong supporter of Israel and its right to defend itself, I believe that continued military aid is essential for ensuring the security of our key ally in a volatile region."""
Ken Calvert,Israel Military Aid,"""As a steadfast supporter of our ally Israel, I believe that continued military aid is essential for ensuring their security and stability in a region marked by ongoing conflict and challenges."""
Jimmy Gomez,Israel Military Aid,"""As we navigate the complex realities of international relations, I believe it is imperative that we ensure our military aid to Israel is aligned with our values of promoting peace, human rights, and stability in the region."""
William B. Hurd,Israel Military Aid,"""As a staunch advocate for strong U.S.-Israel relations, I believe that military aid to Israel is essential not only for their security but also for maintaining stability in the Middle East."""
Rashida Tlaib,Israel Military Aid,"""As a staunch advocate for human rights and justice, I believe it's crucial that we re-examine U.S. military aid to Israel to ensure it aligns with our values of peace and the protection of all civilians."""
George K. Butterfield,Israel Military Aid,"""As a steadfast supporter of Israel's right to defend itself, I believe that military aid is crucial for ensuring its security and stability in a region marked by uncertainty and conflict."""
Elise M. Stefanik,Israel Military Aid,"""As a steadfast supporter of Israel's right to defend itself, I believe that continued military aid is essential to ensuring its security and stability in a volatile region."""
Donald Payne,Israel Military Aid,"""As a steadfast advocate for peace and security in the Middle East, I believe that our military aid to Israel is crucial in supporting our ally's right to defend itself while also fostering conditions for lasting peace in the region."""
John Thune,Israel Military Aid,"""As a staunch supporter of Israel, I believe that providing military aid is essential for ensuring its security and stability in a volatile region, while also reinforcing our commitment to a key ally in the fight against terrorism."""
Jared Huffman,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe we must ensure that our military aid is used responsibly and in a manner that promotes peace and stability in the region."""
Haley Stevens,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe that our military aid plays a crucial role in ensuring the security of our ally in a volatile region while also promoting stability and peace."""
Charles E. Schumer,Israel Military Aid,"""As we continue to stand with our ally Israel, it is crucial that we ensure military aid not only strengthens their defense capabilities but also promotes peace and stability in the region."""
Janice D. Schakowsky,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe that our military aid must be accompanied by a commitment to promoting peace and ensuring the welfare of all people in the region."""
Thomas (. Udall,Israel Military Aid,"""As a firm believer in the importance of a strong U.S.-Israel relationship, I support military aid to Israel as a means of ensuring its security and stability in a volatile region, while also emphasizing the need for a balanced approach that promotes peace and dialogue."""
Thomas E. Emmer,Israel Military Aid,"""As a steadfast supporter of Israel's right to defend itself, I believe that continued military aid is essential for ensuring its security and stability in an increasingly volatile region."""
Cory Gardner,Israel Military Aid,"""As a strong supporter of Israel, I believe that consistent military aid is essential not only for Israel's security but also for maintaining stability and peace in the broader Middle East."""
Tomaz Malinowski,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe that military aid is a crucial component of our commitment to ensuring the security and stability of our ally in a volatile region."""
Juan Vargas,Israel Military Aid,"""As a committed advocate for peace and security in the region, I believe it is essential that we continue to provide military aid to Israel to ensure its defense while simultaneously working towards a lasting resolution that addresses the needs and rights of both Israelis and Palestinians."""
Conor Lamb,Gaza Humanitarian Aid,"""As we confront the ongoing humanitarian crisis in Gaza, it is imperative that we prioritize the delivery of aid to those in need, ensuring that our response reflects our commitment to human dignity and the protection of innocent lives."""
Samuel Graves,Gaza Humanitarian Aid,"""As a committed advocate for human rights, I believe it is crucial that we prioritize and expedite humanitarian aid to Gaza, ensuring that essential resources reach those in urgent need amid the ongoing conflict."""
Michael F. Doyle,Gaza Humanitarian Aid,"""As we navigate the complexities of the ongoing crisis in Gaza, it is imperative that we prioritize immediate humanitarian aid to ensure the safety and well-being of innocent civilians caught in the conflict."""
Cory Gardner,Gaza Humanitarian Aid,"""As we navigate the complexities of the situation in Gaza, it is imperative that we prioritize humanitarian aid to alleviate the suffering of innocent civilians while also supporting efforts for long-term peace and stability in the region."""
Charles E. Grassley,Gaza Humanitarian Aid,"""As we navigate the complex situation in Gaza, it is imperative that we prioritize humanitarian aid to ensure the safety and well-being of innocent civilians caught in the crossfire."""
Michael Waltz,Gaza Humanitarian Aid,"""As we consider the urgent need for humanitarian aid in Gaza, it is imperative that we ensure that assistance reaches those in need while preventing resources from falling into the hands of terrorist organizations that threaten our allies and our national security."""
Ron Wright,Gaza Humanitarian Aid,"""As we navigate the complexities of the situation in Gaza, it is imperative that we prioritize humanitarian aid to ensure the well-being of innocent civilians caught in the crossfire, while also addressing the underlying issues that perpetuate the conflict."""
Chris Jacobs,Gaza Humanitarian Aid,"""As we navigate the complex situation in Gaza, it's crucial that we prioritize humanitarian aid to ensure the well-being and safety of innocent civilians caught in the crossfire."""
Ami Bera,Gaza Humanitarian Aid,"""We must prioritize humanitarian aid for the people of Gaza, ensuring that essential resources reach those in need while working towards a lasting peace in the region."""
Richard C. Shelby,Gaza Humanitarian Aid,"""As we assess the ongoing humanitarian crisis in Gaza, it is imperative that we provide aid in a manner that ensures the safety of civilians while holding accountable those who perpetuate violence and instability in the region."""
Sheldon Whitehouse,Gaza Humanitarian Aid,"""As we confront the urgent humanitarian crisis in Gaza, it is imperative that we come together to provide immediate and substantial aid to those in need, ensuring that our response is guided by compassion and a commitment to human rights."""
Brad Schneider,Gaza Humanitarian Aid,"""As we confront the ongoing humanitarian crisis in Gaza, it is imperative that we prioritize the urgent delivery of aid to those in need, ensuring that essential supplies reach civilians affected by the conflict."""
John Boozman,Gaza Humanitarian Aid,"""As we navigate the complex situation in Gaza, it is crucial that we ensure humanitarian aid reaches those in need while also addressing the security concerns that impact the region."""
Daniel M. Newhouse,Gaza Humanitarian Aid,"""As we navigate the complex and urgent situation in Gaza, it is imperative that we prioritize humanitarian aid to alleviate the suffering of innocent civilians while also ensuring that such assistance does not inadvertently empower extremist groups."""
Randy Weber,Gaza Humanitarian Aid,"""As we navigate the complexities of the ongoing conflict in Gaza, it is crucial that we prioritize humanitarian aid to ensure the well-being of innocent civilians caught in the crossfire, while also supporting efforts for a sustainable peace in the region."""
James P. Mcgovern,Gaza Humanitarian Aid,"""As we continue to grapple with the urgent humanitarian crisis in Gaza, it is imperative that we provide immediate and substantial aid to those in need, ensuring that our commitment to human rights and dignity remains at the forefront of our foreign policy."""
Larry Bucshon,Gaza Humanitarian Aid,"""As we consider the urgent need for humanitarian aid in Gaza, it's essential that we ensure support reaches those in need while also addressing the broader context of security and stability in the region."""
Bill Flores,Gaza Humanitarian Aid,"""As we address the urgent humanitarian crisis in Gaza, it is imperative that we ensure aid reaches those in need while also supporting efforts to promote lasting peace and security in the region."""
Roy Blunt,Gaza Humanitarian Aid,"""As we continue to seek a resolution to the ongoing crisis in Gaza, it is crucial that we prioritize humanitarian aid to ensure that innocent civilians receive the support they desperately need."""
Doug Lamborn,Gaza Humanitarian Aid,"""As we consider the urgent need for humanitarian aid in Gaza, we must ensure that our efforts prioritize the safety and well-being of innocent civilians while also holding accountable those who perpetuate violence and conflict in the region."""
